year,vcnaics4,firms,estabs,emp,denom,estabs_entry,estabs_entry_rate,estabs_exit,estabs_exit_rate,job_creation,job_creation_births,job_creation_continuers,job_creation_rate_births,job_creation_rate,job_destruction,job_destruction_deaths,job_destruction_continuers,job_destruction_rate_deaths,job_destruction_rate,net_job_creation,net_job_creation_rate,reallocation_rate,firmdeath_firms,firmdeath_estabs,firmdeath_emp
1978,3256,2059,2311,111237,109206,191,8.259,194,8.389,13879,2199,11680,2.014,12.709,9791,3318,6473,3.038,8.966,4088,3.743,17.931,129,131,990
1978,3259,1718,2204,94316,93109,216,9.879,181,8.278,11605,2522,9083,2.709,12.464,8945,2181,6764,2.342,9.607,2660,2.857,19.214,116,117,968
1978,3261,8158,9501,484156,461676,1153,12.371,792,8.497,86778,17774,69004,3.85,18.796,41624,15703,25921,3.401,9.016,45154,9.78,18.032,553,556,7803
1978,3262,1739,2115,234661,233165,185,8.799,160,7.61,18849,3146,15703,1.349,8.084,16239,3473,12766,1.49,6.965,2610,1.119,13.929,103,103,1178
1978,3271,1336,1649,99765,97580,190,11.621,162,9.908,12715,1859,10856,1.905,13.03,8315,2787,5528,2.856,8.521,4400,4.509,17.042,111,111,1102
1978,3272,1310,1599,185504,180278,201,12.831,136,8.682,18098,2192,15906,1.216,10.039,7776,1291,6485,0.716,4.313,10322,5.726,8.627,95,96,768
1978,3273,7654,9498,191429,185030,758,7.995,723,7.626,36217,8420,27797,4.551,19.574,23470,7265,16205,3.926,12.684,12747,6.889,25.369,479,490,3356
1978,3274,307,403,17302,16624,56,14.213,38,9.645,2123,574,1549,3.453,12.771,739,377,362,2.268,4.445,1384,8.325,8.891,25,25,112
1978,3279,2156,2486,97335,95298,260,10.546,219,8.883,12389,1831,10558,1.921,13,8369,2467,5902,2.589,8.782,4020,4.218,17.564,152,152,1019
1978,3311,256,294,217623,216967,50,16.92,53,17.936,11390,2374,9016,1.094,5.25,10152,2798,7354,1.29,4.679,1238,0.571,9.358,32,32,290
1978,3312,484,652,84207,82161,41,6.381,22,3.424,8365,765,7600,0.931,10.181,4171,694,3477,0.845,5.077,4194,5.105,10.153,11,11,207
1978,3313,405,663,145388,141320,33,5.015,23,3.495,15033,1018,14015,0.72,10.638,7049,2820,4229,1.995,4.988,7984,5.65,9.976,12,12,702
1978,3314,801,992,112929,113559,88,8.911,79,8,9604,1920,7684,1.691,8.457,11077,3077,8000,2.71,9.754,-1473,-1.297,16.915,53,53,537
1978,3315,2815,3148,316963,306830,188,5.968,192,6.095,37406,6441,30965,2.099,12.191,17291,5042,12249,1.643,5.635,20115,6.556,11.271,138,139,2481
1978,3321,2859,3054,160146,154269,246,8.123,195,6.439,22824,5515,17309,3.575,14.795,11205,3911,7294,2.535,7.263,11619,7.532,14.527,132,132,1707
1978,3322,1117,1217,90753,87464,97,8.033,78,6.46,12546,2104,10442,2.406,14.344,5864,2722,3142,3.112,6.704,6682,7.64,13.409,60,60,1292
1978,3323,9272,10072,356243,344251,999,10.056,724,7.288,64211,11879,52332,3.451,18.652,40516,15754,24762,4.576,11.769,23695,6.883,23.539,523,528,8835
1978,3324,1442,1845,175180,174045,115,6.274,91,4.965,16701,3218,13483,1.849,9.596,14795,3388,11407,1.947,8.501,1906,1.095,17.001,48,49,878
1978,3325,872,956,94451,91534,88,9.382,52,5.544,11903,1894,10009,2.069,13.004,6362,1597,4765,1.745,6.95,5541,6.053,13.901,30,30,265
1978,3326,1501,1679,68351,66618,152,9.204,97,5.873,10464,1977,8487,2.968,15.708,6889,3102,3787,4.656,10.341,3575,5.366,20.682,61,61,797
1978,3327,18501,18791,314556,294666,2282,12.779,414,2.318,62023,13430,48593,4.558,21.049,22166,6525,15641,2.214,7.522,39857,13.526,15.045,202,202,2525
1978,3328,5308,5581,123389,116429,470,8.535,321,5.829,23936,4473,19463,3.842,20.558,10130,3127,7003,2.686,8.701,13806,11.858,17.401,250,251,1926
1978,3329,4592,5086,370803,360156,587,11.754,403,8.07,47571,9305,38266,2.584,13.208,25830,6735,19095,1.87,7.172,21741,6.037,14.344,283,284,3892
1978,3331,2862,3278,374953,367946,354,10.916,284,8.757,47359,6444,40915,1.751,12.871,33411,6518,26893,1.771,9.08,13948,3.791,18.161,190,190,2389
1978,3332,3489,3740,190354,183049,276,7.379,277,7.405,28368,8390,19978,4.583,15.497,14076,5341,8735,2.918,7.69,14292,7.808,15.379,175,175,1522
1978,3333,2001,2108,167556,163031,177,8.467,142,6.793,20210,3523,16687,2.161,12.396,11213,3760,7453,2.306,6.878,8997,5.519,13.756,80,80,369
1978,3334,1677,1907,188727,182062,290,15.718,166,8.997,26171,4740,21431,2.604,14.375,12661,4665,7996,2.562,6.954,13510,7.421,13.908,112,112,1182
1978,3335,9403,9794,283135,272217,851,8.828,543,5.633,41763,6562,35201,2.411,15.342,19930,7945,11985,2.919,7.321,21833,8.02,14.643,418,418,2724
1978,3336,675,808,192585,189099,40,4.935,45,5.552,15698,1004,14694,0.531,8.301,8444,874,7570,0.462,4.465,7254,3.836,8.931,28,28,209
1978,3339,5384,5855,349631,336505,495,8.556,356,6.153,52528,13048,39480,3.878,15.61,26341,7470,18871,2.22,7.828,26187,7.782,15.656,238,240,2785
1978,3341,779,908,212010,200821,183,21.329,83,9.674,39806,8570,31236,4.267,19.822,17668,3580,14088,1.783,8.798,22138,11.024,17.596,44,45,1914
1978,3342,1554,1702,243170,236258,206,12.118,202,11.882,33384,3777,29607,1.599,14.13,19522,6003,13519,2.541,8.263,13862,5.867,16.526,141,141,2030
1978,3343,529,560,69350,68328,83,14.982,71,12.816,9950,1500,8450,2.195,14.562,8104,1288,6816,1.885,11.86,1846,2.702,23.721,49,49,416
1978,3344,3203,3579,387493,374057,508,14.508,353,10.081,62811,11547,51264,3.087,16.792,36273,10620,25653,2.839,9.697,26538,7.095,19.394,260,261,3142
1978,3345,3299,3744,501190,482903,370,9.97,304,8.192,63256,9116,54140,1.888,13.099,26866,8507,18359,1.762,5.563,36390,7.536,11.127,199,199,3023
1978,3346,600,625,26509,24858,114,18.476,98,15.883,6287,874,5413,3.516,25.292,3010,945,2065,3.802,12.109,3277,13.183,24.218,62,62,269
1978,3351,1213,1328,90970,88038,128,9.679,117,8.847,12659,1685,10974,1.914,14.379,6647,2588,4059,2.94,7.55,6012,6.829,15.1,81,81,747
1978,3352,364,477,156063,150913,43,9.168,27,5.757,18773,1707,17066,1.131,12.44,8581,1195,7386,0.792,5.686,10192,6.754,11.372,13,14,137
1978,3353,1859,2317,295674,285901,224,9.874,127,5.598,35729,6688,29041,2.339,12.497,15923,4532,11391,1.585,5.569,19806,6.928,11.139,79,79,871
1978,3359,1538,1856,188151,182694,183,9.94,153,8.311,26261,5432,20829,2.973,14.374,15153,5419,9734,2.966,8.294,11108,6.08,16.588,90,90,1679
1978,3361,155,214,321339,313119,29,13.488,31,14.419,41264,13164,28100,4.204,13.178,23814,15752,8062,5.031,7.605,17450,5.573,15.211,23,23,155
1978,3362,2008,2235,144043,140727,273,12.245,262,11.752,23389,5255,18134,3.734,16.62,16927,4977,11950,3.537,12.028,6462,4.592,24.057,191,191,1852
1978,3363,3704,4420,761148,749634,489,10.014,1415,28.978,67473,9509,57964,1.268,9.001,44469,13344,31125,1.78,5.932,23004,3.069,11.864,1129,1129,7837
1978,3364,998,1189,565645,553746,96,8.064,99,8.316,52188,3143,49045,0.568,9.425,27723,4573,23150,0.826,5.006,24465,4.418,10.013,67,67,1881
1978,3365,161,227,66975,61819,13,5.752,11,4.867,16917,9615,7302,15.553,27.365,6687,262,6425,0.424,10.817,10230,16.548,21.634,9,9,238
1978,3366,1063,1165,204221,204138,153,13.345,116,10.118,23105,3349,19756,1.641,11.318,23506,2563,20943,1.256,11.515,-401,-0.196,22.637,89,89,1664
1978,3369,436,450,34440,32299,65,14.525,60,13.408,6649,605,6044,1.873,20.586,2445,1415,1030,4.381,7.57,4204,13.016,15.14,47,47,558
1978,3371,11701,12260,399068,378999,1838,15.272,1388,11.533,72448,17537,54911,4.627,19.116,32468,14954,17514,3.946,8.567,39980,10.549,17.134,1070,1073,8667
1978,3372,2131,2235,110589,107001,245,11.086,195,8.824,17034,3746,13288,3.501,15.919,9724,3388,6336,3.166,9.088,7310,6.832,18.176,144,145,1650
1978,3379,1102,1241,39989,38591,89,7.157,94,7.559,6313,824,5489,2.135,16.359,3425,1396,2029,3.617,8.875,2888,7.484,17.75,67,67,831
1978,3391,8407,8959,212820,206371,1348,15.495,829,9.529,35044,9389,25655,4.55,16.981,21836,7614,14222,3.689,10.581,13208,6.4,21.162,612,614,3805
1978,3399,14942,15648,478470,464615,1887,12.154,1643,10.582,80814,16778,64036,3.611,17.394,53442,18940,34502,4.076,11.502,27372,5.891,23.005,1273,1275,9978
1978,4231,22177,27897,319177,309497,3171,11.483,2607,9.441,62151,19844,42307,6.412,20.081,42694,18773,23921,6.066,13.795,19457,6.287,27.589,1649,1709,8578
1978,4232,6606,7775,90016,85268,1156,15.205,812,10.68,21960,6469,15491,7.587,25.754,12369,5763,6606,6.759,14.506,9591,11.248,29.012,537,542,1991
1978,4233,6755,8501,109033,102984,1220,14.705,811,9.775,26389,7995,18394,7.763,25.624,14240,6437,7803,6.25,13.827,12149,11.797,27.655,527,531,2484
1978,4234,15170,21207,367776,346951,3379,16.567,1757,8.614,81923,32369,49554,9.33,23.612,41200,18791,22409,5.416,11.875,40723,11.737,23.75,1036,1064,5850
1978,4235,5449,7959,127175,123137,930,11.883,665,8.497,23995,7157,16838,5.812,19.486,15980,6823,9157,5.541,12.977,8015,6.509,25.955,365,374,2168
1978,4236,11748,16964,209466,200598,2327,14.005,1630,9.81,46933,15854,31079,7.903,23.397,29077,14037,15040,6.998,14.495,17856,8.901,28.99,942,958,3847
1978,4237,9658,12481,136975,132219,1466,11.98,979,8,26543,8384,18159,6.341,20.075,17021,7279,9742,5.505,12.873,9522,7.202,25.747,616,637,3293
1978,4238,41449,54000,605035,582831,6179,11.671,4066,7.68,121156,41307,79849,7.087,20.788,76630,31711,44919,5.441,13.148,44526,7.64,26.296,2517,2562,13276
1978,4239,17887,19541,202063,197448,3036,15.837,2294,11.967,46221,13946,32275,7.063,23.409,36947,15946,21001,8.076,18.712,9274,4.697,37.425,1633,1651,7032
1978,4241,6030,8515,120867,118594,931,11.129,632,7.555,21360,5612,15748,4.732,18.011,16641,7358,9283,6.204,14.032,4719,3.979,28.064,383,390,2828
1978,4242,2365,3096,85644,83330,416,13.454,408,13.195,17507,6212,11295,7.455,21.009,12908,7318,5590,8.782,15.49,4599,5.519,30.981,229,244,2806
1978,4243,9460,10401,109627,107584,1667,16.345,1263,12.384,27725,9292,18433,8.637,25.771,23652,11463,12189,10.655,21.985,4073,3.786,43.969,894,899,4757
1978,4244,25624,31491,529326,514542,3691,11.791,3318,10.599,104538,31383,73155,6.099,20.317,74361,34118,40243,6.631,14.452,30177,5.865,28.904,2252,2286,15809
1978,4245,8757,11901,109163,107501,818,6.848,907,7.593,22097,5490,16607,5.107,20.555,18937,7782,11155,7.239,17.616,3160,2.94,35.231,566,585,4072
1978,4246,5142,7753,93950,92024,1092,14.469,680,9.01,19150,6645,12505,7.221,20.81,15490,5945,9545,6.46,16.833,3660,3.977,33.665,355,357,1690
1978,4247,11994,16201,151010,148262,1546,9.527,1598,9.848,32208,9301,22907,6.273,21.724,26584,11161,15423,7.528,17.93,5624,3.793,35.861,879,897,4601
1978,4248,4867,5995,119973,116559,427,7.077,505,8.369,20262,5474,14788,4.696,17.383,13354,6137,7217,5.265,11.457,6908,5.927,22.914,337,342,2640
1978,4249,17530,21658,228233,224268,2780,12.967,2343,10.928,47907,17544,30363,7.823,21.362,39806,17367,22439,7.744,17.749,8101,3.612,35.499,1560,1579,7530
1978,4251,24252,26840,266824,256546,3488,13.3,2260,8.617,57158,19607,37551,7.643,22.28,36690,14124,22566,5.505,14.302,20468,7.978,28.603,1446,1450,7182
1978,4411,41120,42244,866663,835675,4159,9.89,3778,8.984,132365,39237,93128,4.695,15.839,70240,27330,42910,3.27,8.405,62125,7.434,16.81,3068,3087,20613
1978,4412,12607,13038,81472,77930,1980,15.454,1528,11.926,20682,7726,12956,9.914,26.539,13530,5716,7814,7.335,17.362,7152,9.177,34.723,1211,1216,4357
1978,4413,38962,55214,356017,339455,6653,12.338,4071,7.55,77836,29792,48044,8.776,22.93,44691,18298,26393,5.39,13.166,33145,9.764,26.331,2580,2695,10628
1978,4421,23182,26753,212072,204188,3495,13.243,2773,10.507,47047,18962,28085,9.287,23.041,31342,14636,16706,7.168,15.35,15705,7.691,30.699,1907,1949,7854
1978,4422,17607,19851,108767,101888,3915,20.446,2509,13.103,31558,13759,17799,13.504,30.973,17876,8953,8923,8.787,17.545,13682,13.429,35.09,1798,1849,5677
1978,4431,25553,32253,185037,176654,5321,16.76,4312,13.582,48355,21965,26390,12.434,27.373,31737,16664,15073,9.433,17.966,16618,9.407,35.931,2808,2883,10073
1978,4441,53690,67107,612839,584230,7380,11.19,5075,7.695,127978,46065,81913,7.885,21.905,70593,28044,42549,4.8,12.083,57385,9.822,24.166,3480,3512,14998
1978,4442,13475,16350,111390,107283,2047,12.762,1426,8.891,24589,8245,16344,7.685,22.92,16421,5825,10596,5.43,15.306,8168,7.614,30.613,977,999,3668
1978,4451,64738,103037,1568029,1526813,13162,12.829,12284,11.973,308065,129941,178124,8.511,20.177,225761,101386,124375,6.64,14.786,82304,5.391,29.573,7753,7899,40955
1978,4452,24103,29850,175376,167540,4953,16.725,4482,15.134,50908,23568,27340,14.067,30.386,35371,18384,16987,10.973,21.112,15537,9.274,42.224,3240,3289,12345
1978,4453,28804,34007,171961,157911,3986,11.753,3799,11.202,52476,19452,33024,12.318,33.231,24738,11316,13422,7.166,15.666,27738,17.566,31.332,2702,2740,7719
1978,4461,37777,52301,491265,481941,5583,10.864,3763,7.322,89168,34764,54404,7.213,18.502,71137,30785,40352,6.388,14.761,18031,3.741,29.521,2151,2219,11934
1978,4471,122618,154238,873470,841900,21112,13.469,26126,16.668,247546,97406,150140,11.57,29.403,184161,94476,89685,11.222,21.874,63385,7.529,43.749,18233,18516,61222
1978,4481,59601,90392,754135,735406,13626,15.291,11068,12.42,184822,77712,107110,10.567,25.132,146926,70312,76614,9.561,19.979,37896,5.153,39.958,6534,6822,31231
1978,4482,11364,29761,159261,151576,3606,12.253,2945,10.007,39608,16547,23061,10.917,26.131,24509,11381,13128,7.508,16.169,15099,9.961,32.339,1138,1231,4431
1978,4483,16120,22047,127674,122189,3213,14.94,2130,9.904,31822,14097,17725,11.537,26.043,20971,8770,12201,7.177,17.163,10851,8.881,34.326,1231,1307,4684
1978,4511,30094,37311,217400,208868,6889,18.857,5334,14.6,60418,27724,32694,13.273,28.926,43252,21506,21746,10.296,20.708,17166,8.219,41.416,3634,3689,13026
1978,4512,7240,9651,59885,55213,1820,19.476,1208,12.927,19511,8190,11321,14.834,35.338,10199,4525,5674,8.196,18.472,9312,16.866,36.945,829,843,2938
1978,4522,525,6033,1124106,1092466,496,8.358,299,5.038,159840,55398,104442,5.071,14.631,98020,25777,72243,2.36,8.972,61820,5.659,17.945,37,43,3619
1978,4523,15429,31222,805555,799029,2931,9.305,3486,11.067,125039,45685,79354,5.718,15.649,112982,41929,71053,5.247,14.14,12057,1.509,28.28,1944,2000,8735
1978,4531,18487,19592,97542,92044,2947,15.362,2131,11.108,27449,8786,18663,9.545,29.822,16498,8651,7847,9.399,17.924,10951,11.898,35.848,1619,1659,4845
1978,4532,20073,23485,132347,123944,4686,20.662,3075,13.558,38865,16974,21891,13.695,31.357,22083,10979,11104,8.858,17.817,16782,13.54,35.634,2240,2267,6601
1978,4533,7526,8968,42926,40461,1553,17.611,1254,14.22,13230,5114,8116,12.639,32.699,8324,3659,4665,9.043,20.573,4906,12.125,41.146,880,885,2130
1978,4539,24611,29165,128213,122038,5448,19.03,4374,15.279,40130,18188,21942,14.904,32.883,27614,14221,13393,11.653,22.627,12516,10.256,45.255,2993,3052,9196
1978,4541,4714,6417,88959,88977,1062,16.978,738,11.799,20950,8512,12438,9.567,23.546,20633,11783,8850,13.243,23.189,317,0.356,46.379,427,432,3088
1978,4542,4331,5430,74254,72221,636,11.772,581,10.754,13494,4215,9279,5.836,18.684,9563,4094,5469,5.669,13.241,3931,5.443,26.483,372,375,2016
1978,4543,17221,22729,189886,191346,2225,9.757,2376,10.419,35485,10745,24740,5.615,18.545,38191,14433,23758,7.543,19.959,-2706,-1.414,37.09,1614,1630,6769
1978,4811,967,2280,260369,253289,274,12.047,263,11.563,35237,3109,32128,1.227,13.912,21129,2624,18505,1.036,8.342,14108,5.57,16.684,101,101,982
1978,4812,319,444,4947,4734,98,22.738,72,16.705,1626,490,1136,10.351,34.347,1257,855,402,18.061,26.553,369,7.795,53.105,41,41,107
1978,4831,500,764,38803,38565,100,13.098,99,12.967,8609,2598,6011,6.737,22.324,7959,4517,3442,11.713,20.638,650,1.685,41.276,49,54,1295
1978,4832,396,464,14434,14097,57,12.115,70,14.878,3417,2021,1396,14.337,24.24,2724,1364,1360,9.676,19.324,693,4.916,38.648,42,49,1041
1978,4841,19668,24295,491226,473253,4687,19.608,3903,16.328,114927,33951,80976,7.174,24.284,78530,34852,43678,7.364,16.594,36397,7.691,33.187,2801,2801,11530
1978,4842,40153,43844,561009,535618,7640,17.713,6217,14.414,139350,46492,92858,8.68,26.017,88289,32750,55539,6.114,16.484,51061,9.533,32.967,4729,4736,17632
1978,4851,394,423,19730,19321,35,8.018,62,14.204,2674,401,2273,2.075,13.84,1828,942,886,4.876,9.461,846,4.379,18.922,40,40,555
