year,sector,firms,estabs,emp,denom,estabs_entry,estabs_entry_rate,estabs_exit,estabs_exit_rate,job_creation,job_creation_births,job_creation_continuers,job_creation_rate_births,job_creation_rate,job_destruction,job_destruction_deaths,job_destruction_continuers,job_destruction_rate_deaths,job_destruction_rate,net_job_creation,net_job_creation_rate,reallocation_rate,firmdeath_firms,firmdeath_estabs,firmdeath_emp,
1978,53,169276,178121,1021689,978243,30616,17.543,23416,13.417,292753,122464,170289,12.519,29.926,204660,98192,106468,10.038,20.921,88093,9.005,41.842,18273,18327,60025,
1978,54,233729,248950,2202730,2099737,42169,17.551,24799,10.322,530793,195546,335247,9.313,25.279,325699,147603,178096,7.03,15.511,205094,9.768,31.023,17499,17760,95263,
1978,55,18969,36093,2434778,2368434,3915,10.958,3184,8.912,524823,137318,387505,5.798,22.159,391336,97684,293652,4.124,16.523,133487,5.636,33.046,402,433,4303,
1978,56,109204,122292,1965495,1840871,26377,22.519,16056,13.708,619950,206701,413249,11.228,33.677,371813,137025,234788,7.443,20.198,248137,13.479,40.395,11888,11975,74627,
1978,61,29441,31407,1274436,1201111,4319,14.036,3047,9.902,270127,31776,238351,2.646,22.49,125775,57204,68571,4.763,10.472,144352,12.018,20.943,2248,2281,46529,
1978,62,313919,340645,5572254,5307995,40901,12.363,21265,6.428,999783,295852,703931,5.574,18.835,469869,192327,277542,3.623,8.852,529914,9.983,17.704,14693,14874,107374,
1978,71,43359,45513,663139,626727,7815,17.656,5315,12.008,171688,61371,110317,9.792,27.394,98894,37138,61756,5.926,15.779,72794,11.615,31.559,3926,3945,23843,
1978,72,286506,342501,5222425,4941125,61638,18.217,53339,15.764,1520375,776179,744196,15.709,30.77,955202,485913,469289,9.834,19.332,565173,11.438,38.663,38258,38835,301333,
1978,81,431099,464378,3167340,3022839,62321,13.645,47061,10.303,763703,240524,523179,7.957,25.264,473065,180252,292813,5.963,15.65,290638,9.615,31.299,33751,34098,115057,
1979,11,19992,20597,187512,187701,3600,17.461,3640,17.655,50537,19497,31040,10.387,26.924,51041,20438,30603,10.889,27.193,-504,-0.269,53.849,2606,2650,13733,
1979,21,19961,25723,818197,764727,4182,16.601,3118,12.377,217969,52615,165354,6.88,28.503,110967,45819,65148,5.992,14.511,107002,13.992,29.021,1878,1895,19127,
1979,22,5925,12100,683038,670901,795,6.639,544,4.543,62367,21905,40462,3.265,9.296,38455,7137,31318,1.064,5.732,23912,3.564,11.464,213,213,957,
1979,23,448015,453702,4575364,4349905,84784,19.13,63759,14.386,1379220,388675,990545,8.935,31.707,928281,305945,622336,7.033,21.34,450939,10.367,42.681,49595,49626,224567,
1979,31-33,259253,307698,19091435,18712544,31369,10.228,29354,9.571,2443010,513018,1929992,2.742,13.055,1680444,551595,1128849,2.948,8.98,762566,4.075,17.961,19378,19560,221763,
1979,42,257246,333496,4252980,4144541,36663,11.121,29002,8.797,781970,239235,542735,5.772,18.867,564868,215852,349016,5.208,13.629,217102,5.238,27.258,18284,18638,98173,
1979,44-45,744718,1008061,10297332,10080415,123161,12.324,105781,10.585,1867519,742863,1124656,7.369,18.526,1428096,524722,903374,5.205,14.167,439423,4.359,28.334,72602,74226,298204,
1979,48-49,93759,114628,2601209,2517765,18969,16.877,14499,12.9,496400,148398,348002,5.894,19.716,329053,103908,225145,4.127,13.069,167347,6.647,26.139,10786,10825,54915,
1979,51,40793,65018,2280122,2227873,8041,12.533,6318,9.848,413663,82534,331129,3.705,18.568,309814,82517,227297,3.704,13.906,103849,4.661,27.813,3385,3413,25413,
1979,52,151882,245659,4448006,4279899,26499,11.05,14809,6.175,724528,194263,530265,4.539,16.929,389402,102422,286980,2.393,9.098,335126,7.83,18.197,8911,8962,37282,
1979,53,178841,188888,1119759,1074472,31942,17.302,23396,12.673,302833,122110,180723,11.365,28.184,212752,93877,118875,8.737,19.801,90081,8.384,39.601,18438,18484,62976,
1979,54,251454,267285,2433408,2321863,44411,17.179,26877,10.397,534549,196589,337960,8.467,23.022,311004,125228,185776,5.393,13.395,223545,9.628,26.789,19646,19840,78564,
1979,55,20050,37783,2578026,2506857,4334,11.702,2841,7.671,463198,144551,318647,5.766,18.477,319000,77808,241192,3.104,12.725,144198,5.752,25.45,421,426,4282,
1979,56,118974,133072,2216606,2097329,27774,21.768,16816,13.179,628830,209520,419310,9.99,29.982,390015,129983,260032,6.198,18.596,238815,11.387,37.192,12749,12831,77974,
1979,61,30072,32051,1311555,1261031,4021,12.706,3213,10.153,202119,29095,173024,2.307,16.028,100216,23073,77143,1.83,7.947,101903,8.081,15.894,2422,2456,15016,
1979,62,330219,359045,5928645,5749337,38884,11.102,21251,6.068,853531,257818,595713,4.484,14.846,496155,176673,319482,3.073,8.63,357376,6.216,17.26,15424,15605,115711,
1979,71,45614,47779,714926,689516,7821,16.752,5636,12.072,174492,52437,122055,7.605,25.306,123422,39131,84291,5.675,17.9,51070,7.407,35.8,4155,4176,28027,
1979,72,292962,352392,5550908,5402082,58834,16.901,50284,14.445,1395063,713171,681892,13.202,25.825,1102251,457904,644347,8.476,20.404,292812,5.42,40.808,36250,36776,293864,
1979,81,445022,479546,3339858,3256034,60080,12.718,45784,9.692,682410,227940,454470,7.001,20.958,515128,168706,346422,5.181,15.821,167282,5.138,31.641,33620,33944,116824,
1980,11,19937,20543,189577,189657,3276,15.9,3397,16.487,45922,16027,29895,8.451,24.213,46232,14981,31251,7.899,24.377,-310,-0.163,48.426,2590,2590,10891,
1980,21,21191,27037,854331,838011,4340,16.446,3045,11.539,171868,56118,115750,6.697,20.509,139146,44036,95110,5.255,16.604,32722,3.905,33.209,2015,2057,22228,
1980,22,5940,12205,698399,690477,585,4.813,483,3.974,42573,10573,32000,1.531,6.166,26798,7634,19164,1.106,3.881,15775,2.285,7.762,278,281,1252,
1980,23,439655,445114,4423006,4480037,71342,15.881,79561,17.711,1095045,323510,771535,7.221,24.443,1209442,350381,859061,7.821,26.996,-114397,-2.553,48.886,61212,61239,258581,
1980,31-33,263644,312128,18732427,18885819,32276,10.421,27473,8.87,1972635,500846,1471789,2.652,10.445,2285247,568094,1717153,3.008,12.1,-312612,-1.655,20.89,19879,20029,239104,
1980,42,262671,339700,4298526,4284130,35790,10.618,30506,9.051,660640,215606,445034,5.033,15.421,632196,221900,410296,5.18,14.757,28444,0.664,29.513,19976,20342,105017,
1980,44-45,743448,1013744,10176874,10243058,114678,11.34,109658,10.844,1565263,698266,866997,6.817,15.281,1693755,537600,1156155,5.248,16.536,-128492,-1.254,30.562,76167,78268,319234,
1980,48-49,94457,115837,2567937,2586077,17657,15.323,16442,14.269,388167,130632,257535,5.051,15.01,424453,113020,311433,4.37,16.413,-36286,-1.403,30.02,12626,12698,60354,
1980,51,42873,67615,2350431,2312181,8486,12.797,5878,8.864,488658,83391,405267,3.607,21.134,412629,65690,346939,2.841,17.846,76029,3.288,35.692,3824,3913,32124,
1980,52,154159,251235,4655956,4558014,23048,9.276,17512,7.048,630790,181806,448984,3.989,13.839,435210,123327,311883,2.706,9.548,195580,4.291,19.096,10397,10481,46300,
1980,53,179292,189599,1118468,1119616,28905,15.273,28222,14.912,267474,111134,156340,9.926,23.89,269112,114081,155031,10.189,24.036,-1638,-0.146,47.78,22380,22438,76982,
1980,54,264347,280957,2571224,2509277,44588,16.263,31012,11.311,496306,183715,312591,7.321,19.779,371598,135417,236181,5.397,14.809,124708,4.97,29.618,22929,23069,87600,
1980,55,20626,38984,2657290,2613436,3975,10.357,2769,7.215,418856,122162,296694,4.674,16.027,329186,93027,236159,3.56,12.596,89670,3.431,25.192,566,590,6192,
1980,56,126983,141959,2325510,2272535,27728,20.156,18944,13.771,560856,203304,357552,8.946,24.68,455451,128721,326730,5.664,20.042,105405,4.638,40.083,14493,14554,78934,
1980,61,30432,32439,1393757,1370248,3627,11.248,3242,10.054,155673,20696,134977,1.51,11.361,109413,21708,87705,1.584,7.985,46260,3.376,15.97,2521,2541,14871,
1980,62,344233,374825,6132182,6018590,39710,10.829,23437,6.392,774914,256889,518025,4.268,12.875,546618,177776,368842,2.954,9.082,228296,3.793,18.164,17053,17234,116874,
1980,71,47106,49539,729332,723090,7887,16.206,6142,12.621,145619,51014,94605,7.055,20.138,132871,41586,91285,5.751,18.375,12748,1.763,36.751,4581,4602,28245,
1980,72,292547,355240,5659201,5607343,55662,15.73,52909,14.952,1307778,696290,611488,12.417,23.323,1206774,478057,728717,8.526,21.521,101004,1.801,43.043,38596,39174,309700,
1980,81,448725,484578,3350794,3347080,55472,11.506,50570,10.489,584837,204424,380413,6.108,17.473,577717,175400,402317,5.24,17.26,7120,0.213,34.521,37786,38079,125044,
1981,11,19162,19746,180639,184687,2783,13.845,3492,17.373,40848,14352,26496,7.771,22.117,49000,19127,29873,10.356,26.531,-8152,-4.414,44.235,2486,2489,11484,
1981,21,23967,30116,957551,906529,6131,21.437,3100,10.839,234303,80507,153796,8.881,25.846,131574,48487,83087,5.349,14.514,102729,11.332,29.028,2074,2092,25061,
1981,22,5932,12275,721398,711252,615,5.04,469,3.844,43740,9643,34097,1.356,6.15,23642,6402,17240,0.9,3.324,20098,2.826,6.648,265,266,1383,
1981,23,420646,426212,4274103,4347181,62202,14.281,80873,18.568,1046046,310157,735889,7.135,24.063,1189197,340848,848349,7.841,27.356,-143151,-3.293,48.125,60926,60959,255589,
1981,31-33,271375,320073,18156066,18437245,35151,11.121,27147,8.589,1869363,622709,1246654,3.377,10.139,2431596,606110,1825486,3.287,13.189,-562233,-3.049,20.278,19708,19857,230966,
1981,42,269076,347920,4372219,4331711,39223,11.413,30739,8.944,724547,280130,444417,6.467,16.727,643516,212771,430745,4.912,14.856,81031,1.871,29.712,20821,21310,111670,
1981,44-45,734689,1017642,10107114,10136442,115569,11.385,110410,10.877,1592962,724533,868429,7.148,15.715,1649291,543136,1106155,5.358,16.271,-56329,-0.556,31.43,77386,80029,328360,
1981,48-49,93943,116174,2506908,2541011,16773,14.465,16330,14.083,348745,126996,221749,4.998,13.725,416665,113245,303420,4.457,16.398,-67920,-2.673,27.449,12404,12453,64765,
1981,51,45541,70536,2460317,2406155,9345,13.53,6409,9.279,503950,94511,409439,3.928,20.944,401783,67999,333784,2.826,16.698,102167,4.246,33.396,4114,4190,32937,
1981,52,155902,256302,4903836,4773028,24646,9.713,19527,7.696,754255,222990,531265,4.672,15.802,494729,179917,314812,3.769,10.365,259526,5.437,20.73,11246,11345,74196,
1981,53,176323,187254,1137755,1125317,26835,14.258,28758,15.279,265010,117459,147551,10.438,23.55,240541,103205,137336,9.171,21.375,24469,2.174,42.751,22680,22813,72734,
1981,54,276682,294454,2733067,2651434,47356,16.468,33566,11.673,548571,214590,333981,8.093,20.69,384764,138750,246014,5.233,14.512,163807,6.178,29.023,25232,25405,90413,
1981,55,21470,41405,2772589,2717928,4903,12.162,2719,6.745,455964,154354,301610,5.679,16.776,346447,68250,278197,2.511,12.747,109517,4.029,25.493,560,571,5679,
1981,56,134504,150705,2367489,2344088,29117,19.894,20429,13.958,555225,218078,337147,9.303,23.686,508384,150767,357617,6.432,21.688,46841,1.998,43.376,15662,15771,94017,
1981,61,30717,32796,1466962,1433023,3633,11.119,3387,10.366,168137,24998,143139,1.744,11.733,99557,21910,77647,1.529,6.947,68580,4.786,13.895,2641,2666,14370,
1981,62,360600,393445,6520556,6336005,43189,11.246,24384,6.349,910274,328153,582121,5.179,14.367,537429,179774,357655,2.837,8.482,372845,5.885,16.964,18070,18253,122381,
1981,71,48564,51106,754339,741965,7888,15.686,6250,12.429,152556,59438,93118,8.011,20.561,127436,36983,90453,4.984,17.175,25121,3.386,34.351,4617,4640,25018,
1981,72,292954,358518,5767379,5712169,55565,15.573,52132,14.611,1255383,692721,562662,12.127,21.977,1144755,463740,681015,8.118,20.041,110628,1.937,40.081,38519,39232,313450,
1981,81,449408,486322,3398990,3375092,54498,11.228,52588,10.835,611921,225469,386452,6.68,18.13,564514,187109,377405,5.544,16.726,47407,1.405,33.452,38590,39024,131800,
1982,11,17907,18559,171368,174154,2590,13.643,3441,18.125,42436,15755,26681,9.047,24.367,47837,16355,31482,9.391,27.468,-5401,-3.101,48.734,2397,2401,11429,
1982,21,26428,32887,1013013,985210,6750,21.398,4067,12.892,257269,89469,167800,9.081,26.113,202539,72006,130533,7.309,20.558,54730,5.555,41.116,2744,2765,32526,
1982,22,5848,12233,744604,733503,458,3.747,437,3.575,46449,7102,39347,0.968,6.332,24562,5198,19364,0.709,3.349,21887,2.984,6.697,282,282,1767,
1982,23,388964,395044,3894742,4060949,54052,13.199,83012,20.27,920439,261243,659196,6.433,22.666,1253505,365775,887730,9.007,30.867,-333066,-8.202,45.331,58023,58056,263074,
1982,31-33,272136,320722,17304437,17762236,30258,9.427,30756,9.582,1664773,442989,1221784,2.494,9.373,2580166,602088,1978078,3.39,14.526,-915393,-5.154,18.745,22296,22463,246366,
1982,42,273600,352955,4366869,4379846,38750,11.017,36283,10.316,748410,249260,499150,5.691,17.088,775225,259555,515670,5.926,17.7,-26815,-0.612,34.175,23430,23887,130019,
1982,44-45,717611,1012061,10009461,10057045,117663,11.597,122757,12.099,1676411,699275,977136,6.953,16.669,1770425,620623,1149802,6.171,17.604,-94014,-0.935,33.338,84533,87149,357105,
1982,48-49,92461,115514,2442160,2476821,16384,14.169,16616,14.37,345962,113434,232528,4.58,13.968,414819,110185,304634,4.449,16.748,-68857,-2.78,27.936,12455,12547,67735,
1982,51,46691,72250,2477015,2474444,9198,12.916,7126,10.006,322669,92917,229752,3.755,13.04,318677,64088,254589,2.59,12.879,3992,0.161,25.757,4933,5012,37703,
1982,52,155750,255779,4752326,4710443,21741,8.5,21727,8.495,608663,172792,435871,3.668,12.922,522233,158995,363238,3.375,11.087,86430,1.835,22.173,12680,12799,67407,
1982,53,169354,181050,1124161,1134092,24620,13.395,30132,16.393,248781,103124,145657,9.093,21.937,267784,111667,156117,9.846,23.612,-19003,-1.676,43.873,23661,23738,79991,
1982,54,278134,296835,2645334,2605073,48114,16.461,39012,13.347,575026,229055,345971,8.793,22.073,496999,189861,307138,7.288,19.078,78027,2.995,38.156,29433,29592,122295,
1982,55,22119,42816,2812646,2798687,4601,10.911,3303,7.833,521801,182081,339720,6.506,18.644,490669,113773,376896,4.065,17.532,31132,1.112,35.064,629,642,7636,
1982,56,146051,164386,2570793,2540337,30308,18.889,22441,13.986,602887,211624,391263,8.331,23.733,543171,164501,378670,6.476,21.382,59716,2.351,42.764,17017,17087,98225,
1982,61,30556,32983,1509517,1499655,3567,10.823,3515,10.665,154531,26594,127937,1.773,10.304,134602,23750,110852,1.584,8.976,19929,1.329,17.951,2698,2711,15890,
1982,62,374967,410843,6800765,6684840,44235,10.97,29010,7.194,906437,304561,601876,4.556,13.56,673922,207044,466878,3.097,10.081,232515,3.478,20.163,21903,22135,146704,
1982,71,49420,52438,756856,744265,8892,17.226,7253,14.051,161432,58244,103188,7.826,21.69,136070,42507,93563,5.711,18.282,25362,3.408,36.565,5514,5537,33030,
1982,72,289018,357715,5850292,5811127,54054,15.094,54861,15.319,1344295,675279,669016,11.62,23.133,1262795,514096,748699,8.847,21.731,81500,1.402,43.461,41396,42058,345296,
1982,81,451558,489510,3453966,3439924,55520,11.36,53959,11.041,644992,225205,419787,6.547,18.75,613960,188844,425116,5.49,17.848,31032,0.902,35.696,39382,39676,131756,
1983,11,18125,18749,169896,171337,2910,15.553,2833,15.141,42437,15344,27093,8.955,24.768,45352,16129,29223,9.414,26.47,-2915,-1.701,49.536,2023,2029,10368,
1983,21,25481,31722,788523,903017,4290,13.238,5657,17.457,120070,50844,69226,5.63,13.297,349915,87526,262389,9.693,38.75,-229845,-25.453,26.593,3923,3949,41826,
1983,22,5685,12105,749546,744900,605,5.029,455,3.782,51348,14750,36598,1.98,6.893,41873,6183,35690,0.83,5.621,9475,1.272,11.243,222,225,1009,
1983,23,391659,397642,3790556,3870483,63588,16.021,62113,15.649,957964,291898,666066,7.542,24.751,1118284,291857,826427,7.541,28.893,-160320,-4.142,49.501,43843,43891,206124,
1983,31-33,272441,320069,16156609,16753927,29833,9.31,30607,9.551,1562748,398517,1164231,2.379,9.328,2758184,610179,2148005,3.642,16.463,-1195436,-7.135,18.655,22039,22218,251533,
1983,42,276409,354946,4227519,4297590,39001,11.025,36617,10.351,651825,222137,429688,5.169,15.167,791112,252718,538394,5.88,18.408,-139287,-3.241,30.334,23961,24510,133952,
1983,44-45,722151,1017997,10006622,10016631,119187,11.737,114219,11.247,1663424,711370,952054,7.102,16.607,1686137,647843,1038294,6.468,16.833,-22713,-0.227,33.213,75132,77932,325946,
1983,48-49,93313,116269,2378650,2410946,17206,14.841,16537,14.264,367058,127024,240034,5.269,15.225,430554,129856,300698,5.386,17.858,-63496,-2.634,30.449,11526,11647,63338,
1983,51,48022,71848,2475678,2495999,9941,13.795,10374,14.395,712159,116599,(S),4.671,28.532,764832,311049,453783,12.462,30.642,-52673,-2.11,57.064,4871,4978,37970,
1983,52,164506,266747,4971148,4811258,33846,12.985,21657,8.309,905665,317199,588466,6.593,18.824,586232,204518,381714,4.251,12.185,319433,6.639,24.369,12218,12402,99393,
1983,53,170241,182336,1139281,1134208,26886,14.791,25770,14.177,260613,115085,145528,10.147,22.978,251317,106575,144742,9.396,22.158,9296,0.82,44.316,19477,19557,71424,
1983,54,313137,333866,2918252,2886181,57941,17.941,36119,11.184,570113,243428,326685,8.434,19.753,506677,168347,338330,5.833,17.555,63436,2.198,35.111,26103,26362,107354,
1983,55,22676,42568,2757148,2785990,4180,9.792,4418,10.35,447166,136589,310577,4.903,16.051,504436,121497,382939,4.361,18.106,-57270,-2.056,32.101,646,662,7502,
1983,56,141196,158399,2420523,2408627,30044,19.367,23507,15.153,578005,197226,380779,8.188,23.997,553251,181257,371994,7.525,22.97,24754,1.028,45.939,17693,17808,110596,
1983,61,30934,33144,1493010,1465722,4155,12.737,3110,9.534,156690,32206,124484,2.197,10.69,101967,19589,82378,1.336,6.957,54723,3.734,13.914,2349,2390,12997,
1983,62,391672,430386,7227402,7010488,46526,11.06,27110,6.444,1110358,540104,570254,7.704,15.839,674508,202083,472425,2.883,9.621,435850,6.217,19.243,19632,19973,129001,
1983,71,53373,56489,766036,762142,10454,19.04,7286,13.27,158575,66260,92315,8.694,20.806,150754,48520,102234,6.366,19.78,7821,1.026,39.561,5390,5428,33740,
1983,72,298547,369295,5990252,5920535,62044,17.067,50508,13.894,1363202,733016,630186,12.381,23.025,1221344,506561,714783,8.556,20.629,141858,2.396,41.258,36793,37479,319934,
1983,81,458450,497981,3452236,3424648,62129,12.626,50328,10.228,627168,234461,392707,6.846,18.313,573224,194319,378905,5.674,16.738,53944,1.575,33.476,36056,36542,132718,
1984,11,18914,19495,180089,175039,3231,16.888,2505,13.093,48114,16742,31372,9.565,27.488,38153,12244,25909,6.995,21.797,9961,5.691,43.594,1808,1813,9022,
1984,21,25425,31778,798648,790476,4502,14.172,4479,14.1,173602,43759,129843,5.536,21.962,158582,52823,105759,6.682,20.062,15020,1.9,40.123,3210,3241,27351,
1984,22,5743,12231,755794,751869,725,5.996,446,3.689,42297,11874,30423,1.579,5.626,34391,5149,29242,0.685,4.574,7906,1.052,9.148,241,241,1128,
1984,23,422310,428376,4285137,4042842,81332,19.652,52307,12.639,1354733,385755,968978,9.542,33.509,872647,249042,623605,6.16,21.585,482086,11.924,43.17,38665,38699,187084,
1984,31-33,278370,325737,17301118,16749778,33822,10.475,28086,8.699,2592232,522777,2069455,3.121,15.476,1490798,515855,974943,3.08,8.9,1101434,6.576,17.801,20847,21005,211061,
1984,42,282033,361271,4494029,4365034,40533,11.316,34349,9.59,830838,257130,573708,5.891,19.034,572270,214431,357839,4.912,13.11,258568,5.924,26.221,23623,24137,122557,
1984,44-45,733515,1034941,10639355,10328898,123008,11.98,106758,10.397,1937345,757933,1179412,7.338,18.757,1314752,520833,793919,5.042,12.729,622593,6.028,25.458,74250,76579,304287,
1984,48-49,96857,120241,2528271,2454208,19515,16.505,15501,13.11,476621,132815,343806,5.412,19.421,329466,116435,213031,4.744,13.425,147155,5.996,26.849,11131,11230,59721,
1984,51,50161,76752,2563992,2524274,13822,18.61,8863,11.933,623736,350017,273719,13.866,24.71,541782,188118,353664,7.452,21.463,81954,3.247,42.926,5070,5156,36977,
1984,52,168728,273221,4862032,4794800,31416,11.656,24039,8.919,809631,275332,534299,5.742,16.886,674153,264106,410047,5.508,14.06,135478,2.826,28.12,14950,15097,164724,
1984,53,177751,192100,1276123,1207181,33972,18.145,24225,12.939,361507,175470,186037,14.536,29.946,220175,101660,118515,8.421,18.239,141332,11.708,36.478,18764,18874,71554,
1984,54,333544,355019,3203255,3065135,59739,17.34,38749,11.247,712889,265308,447581,8.656,23.258,436262,170077,266185,5.549,14.233,276627,9.025,28.466,28536,28759,115133,
1984,55,23433,43641,2859644,2804562,4403,10.222,3265,7.58,473815,137708,336107,4.91,16.894,363702,84817,278885,3.024,12.968,110113,3.926,25.936,727,745,9442,
1984,56,151232,169124,2772533,2598688,32493,19.845,21714,13.262,766268,222090,544178,8.546,29.487,416216,150745,265471,5.801,16.016,350052,13.47,32.033,16585,16698,96421,
1984,61,32254,34589,1512810,1490141,4516,13.337,3060,9.037,160213,27148,133065,1.822,10.752,115226,21165,94061,1.42,7.733,44987,3.019,15.465,2346,2371,14532,
1984,62,405010,445656,7686081,7462078,43907,10.024,28658,6.542,1207412,637961,569451,8.549,16.181,760526,213373,547153,2.859,10.192,446886,5.989,20.384,21292,21629,144205,
1984,71,54775,57978,803505,784183,10151,17.767,8464,14.814,171648,63254,108394,8.066,21.889,133368,48013,85355,6.123,17.007,38280,4.882,34.015,6478,6533,34335,
1984,72,303235,376673,6397001,6196766,61303,16.431,54157,14.515,1478957,760373,718584,12.27,23.867,1079906,516323,563583,8.332,17.427,399051,6.44,34.854,40387,41079,331946,
1984,81,505391,545417,3758056,3610916,96397,18.469,49445,9.473,806188,330713,475475,9.159,22.326,511498,179340,332158,4.967,14.165,294690,8.161,28.331,36697,37217,126142,
1985,11,18905,19457,178340,178830,2961,15.226,2942,15.128,45094,15706,29388,8.783,25.216,46035,15420,30615,8.623,25.742,-941,-0.526,50.432,2102,2106,10409,
1985,21,25268,31537,761940,769276,4255,13.422,4586,14.466,139261,41971,97290,5.456,18.103,154336,56816,97520,7.386,20.063,-15075,-1.96,36.206,3288,3315,29961,
1985,22,5761,12188,764170,759696,621,5.101,592,4.863,44244,9060,35184,1.193,5.824,35309,8064,27245,1.061,4.648,8935,1.176,9.296,314,314,1894,
1985,23,443686,449827,4649243,4476872,84070,19.144,62689,14.276,1431391,439611,991780,9.82,31.973,1088150,356207,731943,7.957,24.306,343241,7.667,48.612,46356,46395,265398,
1985,31-33,282021,328577,17230397,17263442,34270,10.483,30932,9.462,2082581,540329,1542252,3.13,12.064,2143597,803417,1340180,4.654,12.417,-61016,-0.353,24.127,22808,23068,334185,
1985,42,284275,363535,4629152,4571798,41268,11.383,39297,10.839,819666,254050,565616,5.557,17.929,706053,306760,399293,6.71,15.444,113613,2.485,30.887,27394,28072,181551,
1985,44-45,727209,1028532,11069243,10851480,122142,11.838,128556,12.46,1973805,766222,1207583,7.061,18.189,1539306,714755,824551,6.587,14.185,434499,4.004,28.37,87492,91309,420463,
1985,48-49,99065,122764,2630149,2578799,20037,16.486,17592,14.474,477279,134570,342709,5.218,18.508,374584,146878,227706,5.696,14.526,102695,3.982,29.051,12887,12988,80266,
1985,51,50939,78909,2606219,2592855,11549,14.841,9370,12.041,484780,193849,290931,7.476,18.697,462109,150072,312037,5.788,17.822,22671,0.874,35.645,6081,6210,62417,
1985,52,168106,275223,5048932,4948029,31075,11.34,28688,10.469,858465,255100,603365,5.156,17.35,659483,254430,405053,5.142,13.328,198982,4.021,26.656,18049,18209,131648,
1985,53,183097,198608,1388763,1331569,36206,18.539,29593,15.152,381513,174758,206755,13.124,28.651,268125,128806,139319,9.673,20.136,113388,8.515,40.272,23032,23143,90870,
1985,54,349902,372237,3450123,3328615,63010,17.328,45813,12.599,774225,280847,493378,8.437,23.26,529461,223985,305476,6.729,15.906,244764,7.353,31.813,34696,34948,159668,
1985,55,23750,43760,3006883,2934277,4107,9.398,3985,9.119,543176,140253,402923,4.78,18.511,400625,124999,275626,4.26,13.653,142551,4.858,27.307,1000,1012,12718,
1985,56,159570,178482,3172130,2974911,35158,20.233,25721,14.802,923328,269375,653953,9.055,31.037,528470,194223,334247,6.529,17.764,394858,13.273,35.528,20026,20183,132834,
1985,61,32658,35110,1537925,1526288,4350,12.491,3779,10.852,182344,26926,155418,1.764,11.947,158775,48413,110362,3.172,10.403,23569,1.544,20.805,2916,2947,30467,
1985,62,413661,456081,8084355,7893378,45240,10.033,34900,7.74,1319081,582743,736338,7.383,16.711,936598,357819,578779,4.533,11.866,382483,4.846,23.731,26831,27250,241157,
1985,71,56661,59873,842773,823263,10669,18.106,8771,14.885,194903,68096,126807,8.271,23.674,155631,57312,98319,6.962,18.904,39272,4.77,37.808,6727,6784,42338,
1985,72,302065,377660,6686653,6546820,62000,16.433,61277,16.241,1597081,832355,764726,12.714,24.395,1312533,658012,654521,10.051,20.048,284548,4.346,40.097,45814,46861,413581,
1985,81,513947,554408,3926135,3843793,70382,12.798,61469,11.177,765103,261434,503669,6.801,19.905,601289,243255,358034,6.329,15.643,163814,4.262,31.286,44938,45527,174739,
1986,11,18515,19065,174740,176597,2831,14.713,3183,16.543,44148,15371,28777,8.704,24.999,47859,18188,29671,10.299,27.101,-3711,-2.101,49.999,2289,2290,11300,
